time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type
2014-05-26T22:06:53.400Z,37.8032,-122.1993,8.6,0.9,Md,28,75.6,0.02694946,0.05,nc,nc72227556,2014-06-03T21:05:07.710Z,"3km SE of Piedmont, California",earthquake
2014-05-24T10:11:59.300Z,37.8885,-122.2282,8.2,0.9,Md,35,57.6,0.00898315,0.05,nc,nc72226491,2014-05-30T20:39:48.312Z,"4km ENE of Berkeley, California",earthquake
2014-05-19T11:02:59.600Z,37.8585,-122.2458,7.4,0.8,Md,27,57.6,0.01796631,0.06,nc,nc72224066,2014-05-28T18:52:05.459Z,"2km ESE of Berkeley, California",earthquake
2014-05-14T09:00:58.500Z,37.8868,-122.2257,6.5,0.4,Md,13,64.8,0,0.03,nc,nc72221416,2014-05-22T00:09:26.812Z,"4km ENE of Berkeley, California",earthquake
2014-05-12T11:53:44.090Z,37.8885,-122.2146667,7.35,0.69,md,17,70,0.008127,0.03,nc,nc72216665,2014-05-21T02:15:29.650Z,"3km WNW of Orinda, California",earthquake
2014-05-04T04:37:12.100Z,37.8972,-122.1973,6.6,0.7,Md,18,68.4,0.02694946,0.06,nc,nc72215326,2014-05-15T17:07:05.934Z,"2km NW of Orinda, California",earthquake
2014-04-24T00:44:57.800Z,37.8857,-122.2033,8.1,0.7,Md,15,72,0.01796631,0.21,nc,nc72204310,2014-05-02T00:29:53.676Z,"2km WNW of Orinda, California",earthquake
2014-04-22T05:01:51.700Z,37.8798,-122.2095,7.1,0.6,Md,17,82.8,0.00898315,0.07,nc,nc72203390,2014-04-30T03:16:04.044Z,"2km W of Orinda, California",earthquake
2014-04-21T21:44:48.500Z,37.8732,-122.3102,11,0.9,Md,22,90,0.03593261,0.08,nc,nc72203185,2014-04-30T00:43:08.624Z,"1km SW of Albany, California",earthquake
2014-04-20T08:12:12.340Z,37.9095,-122.2923333,4.43,1.03,md,30,68,0.03521,0.08,nc,nc72202340,2014-04-26T02:20:58.590Z,"1km ESE of El Cerrito, California",earthquake
2014-04-14T01:08:01.600Z,37.8855,-122.2245,8.4,0.9,Md,,64.8,0,0.06,nc,nc71082849,2014-04-15T00:27:01.887Z,"4km ENE of Berkeley, California",earthquake
2014-04-09T19:49:37.900Z,37.8922,-122.2247,7.1,0.9,Md,,61.2,0.00898315,0.04,nc,nc72196670,2014-04-16T18:26:02.370Z,"4km ENE of Berkeley, California",earthquake
2014-04-06T21:10:58.340Z,37.8845,-122.2261667,6.57,1.81,md,56,40,0.002378,0.08,nc,nc72194785,2014-04-16T02:55:51.622Z,"4km ENE of Berkeley, California",earthquake
2014-03-27T22:44:38.800Z,37.8885,-122.2192,7.7,1.1,Md,,54,0.00898315,0.05,nc,nc72189785,2014-04-07T19:38:08.821Z,"3km WNW of Orinda, California",earthquake
